Date,daily_visits,Name
1/12/22,4223,Albany.Waterfront
1/13/22,3196,Albany.Waterfront
1/14/22,4502,Albany.Waterfront
1/15/22,8524,Albany.Waterfront
1/16/22,9348,Albany.Waterfront
1/17/22,8603,Albany.Waterfront
1/18/22,6776,Albany.Waterfront
1/19/22,6899,Albany.Waterfront
1/20/22,7694,Albany.Waterfront
1/21/22,8956,Albany.Waterfront
1/22/22,10322,Albany.Waterfront
1/23/22,9696,Albany.Waterfront
1/24/22,6306,Albany.Waterfront
1/25/22,4876,Albany.Waterfront
1/26/22,6755,Albany.Waterfront
1/27/22,6634,Albany.Waterfront
1/28/22,6164,Albany.Waterfront
1/29/22,8676,Albany.Waterfront
1/30/22,8925,Albany.Waterfront
1/31/22,6849,Albany.Waterfront
2/1/22,5253,Albany.Waterfront
2/2/22,5620,Albany.Waterfront
2/3/22,5993,Albany.Waterfront
2/4/22,7771,Albany.Waterfront
2/5/22,8989,Albany.Waterfront
2/6/22,13398,Albany.Waterfront
2/7/22,8468,Albany.Waterfront
2/8/22,7145,Albany.Waterfront
2/9/22,7141,Albany.Waterfront
2/10/22,6894,Albany.Waterfront
2/11/22,8708,Albany.Waterfront
2/12/22,11830,Albany.Waterfront
2/13/22,10853,Albany.Waterfront
2/14/22,6587,Albany.Waterfront
2/15/22,6490,Albany.Waterfront
2/16/22,6803,Albany.Waterfront
2/17/22,5668,Albany.Waterfront
2/18/22,7143,Albany.Waterfront
2/19/22,10440,Albany.Waterfront
2/20/22,10303,Albany.Waterfront
2/21/22,7535,Albany.Waterfront
2/22/22,6608,Albany.Waterfront
2/23/22,7316,Albany.Waterfront
2/24/22,7627,Albany.Waterfront
2/25/22,8113,Albany.Waterfront
2/26/22,10048,Albany.Waterfront
2/27/22,8421,Albany.Waterfront
2/28/22,5834,Albany.Waterfront
3/1/22,6810,Albany.Waterfront
3/2/22,5212,Albany.Waterfront
3/3/22,5670,Albany.Waterfront
3/4/22,7241,Albany.Waterfront
3/5/22,9965,Albany.Waterfront
3/6/22,8834,Albany.Waterfront
3/7/22,6667,Albany.Waterfront
3/8/22,7287,Albany.Waterfront
3/9/22,6449,Albany.Waterfront
3/10/22,6331,Albany.Waterfront
3/11/22,8443,Albany.Waterfront
3/12/22,8161,Albany.Waterfront
3/13/22,9238,Albany.Waterfront
3/14/22,6384,Albany.Waterfront
3/15/22,7905,Albany.Waterfront
3/16/22,7561,Albany.Waterfront
3/17/22,4966,Albany.Waterfront
3/18/22,7641,Albany.Waterfront
3/19/22,9490,Albany.Waterfront
3/20/22,11855,Albany.Waterfront
