"","Name","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","restaurant_count","imp_surf","NatWalkInd","Ac_Total","Ac_Land","Ac_Water","Workers","CEC_mal_class_en.ID","CEC_mal_class_en.Class_EN","osm_landcov_fusion","osm_landcov_fusion_r","bio_1","bio_12","human_mod","total_road_length","road_density","area"
"72","Morello-Frosch Home", 95467.88,38.25000,47.352177, 5169.10461,2498.69253, 43, 72,16.166667,   57.94174,   57.94174,   0.0000000, 694, 72,Urban and Built-up,13.931820,14,14.25,115.4,0.9408406,64670.913,0.020594800 [1/m^2],3140157 [m^2]
"73","Neumann Home",105557.88,39.01333,55.075347, 5990.74867,2916.08487, 62, 47,15.000000,   68.25124,   68.25124,   0.0000000, 477, 73,Urban and Built-up, 4.059287, 4,14.35,119.7,0.9342345,65257.772,0.020781688 [1/m^2],3140157 [m^2]
"74","Nicholl Park", 68378.71,35.24737,12.436368, 4067.24894,1420.79149,  2, 46,16.833333,   83.76393,   83.76393,   0.0000000, 349, 74,Urban and Built-up,22.920166,23,14.35,128.1,0.9261011,56398.987,0.017960561 [1/m^2],3140157 [m^2]
"75","North Richmond Ballpark", 65203.17,33.72500, 8.408083, 4298.08988,1208.36192,  1, 16,11.500000, 1552.73266, 1213.84416, 338.8885073, 874, 75,Urban and Built-up,11.935446,12,14.35,129.9,0.8923655,38989.819,0.012416518 [1/m^2],3140157 [m^2]
"76","Ochoa Home", 96593.80,40.64000,22.437236, 2662.15588,1033.44969,  1, 58,14.500000,  183.28247,  157.47634,  25.8061356, 670, 76,Urban and Built-up,28.000000,28,14.75,123.2,0.8275517,34177.691,0.010884069 [1/m^2],3140157 [m^2]
"77","Osborne Home",132164.00,49.50000,32.853680,  638.80131, 239.75458,  1, 54,12.833333,  157.72418,  157.72418,   0.0000000, 396, 77,Urban and Built-up,13.421743,13,14.05,102.6,0.6436570,26802.829,0.008535505 [1/m^2],3140157 [m^2]
"78","Oyster Bay Regional Shoreline", 80958.00,35.70000,16.723553,  927.11090, 258.49820, 12, 11,13.500000, 1173.76503,  831.36449, 342.4005396, 960, 78,Urban and Built-up, 6.187119, 6,14.35, 98.9,0.7702795, 9429.362,0.003002831 [1/m^2],3140157 [m^2]
"79","Oz Cali Trail",135380.33,46.55000,23.270381, 1213.46413, 435.54370,  1,  4, 8.833333,  384.53109,  384.53109,   0.0000000,   5, 79,Temperate or Subpolar Grassland, 9.704850,10,14.05,101.5,0.6854640,22709.137,0.007231847 [1/m^2],3140157 [m^2]
"80","OZ Creek",110801.00,41.21111,19.217503, 1748.76598, 648.86661,  1, 24, 8.833333,  384.53109,  384.53109,   0.0000000,   5, 80,Urban and Built-up, 6.000000, 6,14.25,100.2,0.7614012,41811.467,0.013315086 [1/m^2],3140157 [m^2]
"81","OZ SEKI Gate", 96301.18,36.45455,15.020781, 3229.52390,1074.79566,  4, 30, 8.833333,  384.53109,  384.53109,   0.0000000,   5, 81,Urban and Built-up,21.900248,22,14.25, 98.4,0.7614012,43188.592,0.013753639 [1/m^2],3140157 [m^2]
"82","Phoenixx Home", 91639.50,46.95000,31.507490, 1631.50621, 621.84783,  1, 52,12.166667,  464.91420,  464.91420,   0.0000000, 890, 82,Urban and Built-up,28.000000,28,14.45,131.8,0.7786441,32708.324,0.010416142 [1/m^2],3140157 [m^2]
"83","Picone Home", 71114.78,34.11905, 8.945433, 5154.17641,1785.70798,  1, 72,11.166667,   60.85480,   60.85480,   0.0000000, 352, 83,Urban and Built-up,15.613159,16,14.25, 99.9,0.9171172,48491.590,0.015442408 [1/m^2],3140157 [m^2]
